modality,chunk_size,seed,acc,auc,region
temporal,800.0,3,100.0,1.0,ca1
temporal,1600.0,3,98.88888888888887,1.0,ca1
morphological,0.0,3,100.0,1.0,ca1
morphological,100.0,3,100.0,1.0,ca1
morphological,200.0,3,100.0,1.0,ca1
morphological,400.0,3,100.0,1.0,ca1
morphological,800.0,3,100.0,1.0,ca1
morphological,1600.0,3,100.0,1.0,ca1
spatial,0.0,4,100.0,1.0,ca1
spatial,100.0,4,100.0,1.0,ca1
spatial,200.0,4,100.0,1.0,ca1
spatial,400.0,4,100.0,1.0,ca1
spatial,800.0,4,100.0,1.0,ca1
spatial,1600.0,4,100.0,1.0,ca1
temporal,0.0,4,100.0,1.0,ca1
temporal,100.0,4,100.0,1.0,ca1
temporal,200.0,4,100.0,1.0,ca1
temporal,400.0,4,100.0,1.0,ca1
temporal,800.0,4,100.0,1.0,ca1
temporal,1600.0,4,100.0,1.0,ca1
morphological,0.0,4,98.88888888888887,1.0,ca1
morphological,100.0,4,100.0,1.0,ca1
morphological,200.0,4,100.0,1.0,ca1
morphological,400.0,4,100.0,1.0,ca1
morphological,800.0,4,100.0,1.0,ca1
morphological,1600.0,4,100.0,1.0,ca1
spatial,0.0,5,96.66666666666669,0.9962406015037594,ca1
spatial,100.0,5,100.0,1.0,ca1
spatial,200.0,5,98.88888888888887,1.0,ca1
spatial,400.0,5,98.88888888888887,1.0,ca1
spatial,800.0,5,96.66666666666669,0.9981203007518796,ca1
spatial,1600.0,5,97.77777777777777,0.9962406015037594,ca1
temporal,0.0,5,95.55555555555556,0.9971804511278196,ca1
temporal,100.0,5,96.66666666666669,0.9802631578947368,ca1
temporal,200.0,5,97.77777777777777,0.9849624060150376,ca1
temporal,400.0,5,98.88888888888887,0.9943609022556392,ca1
temporal,800.0,5,97.77777777777777,0.9971804511278196,ca1
temporal,1600.0,5,96.66666666666669,0.9962406015037594,ca1
morphological,0.0,5,97.77777777777777,0.9981203007518796,ca1
morphological,100.0,5,98.88888888888887,1.0,ca1
morphological,200.0,5,100.0,1.0,ca1
morphological,400.0,5,100.0,1.0,ca1
